"provincia"	"estacion"	"media"	"ene"	"feb"	"mar"	"abr"	"may"	"jun"	"jul"	"ago"	"sep"	"oct"	"nov"	"dic"
"Mendoza"	"SAN RAFAEL AERO"	"Frecuencia de días con Precipitación superior a 0.1 mm"	"7.5"	"6.1"	"5.3"	"4.1"	"3.7"	"2.9"	"2.8"	"3.3"	"4.7"	"4.7"	"5.7"	"6.7"
"Buenos Aires"	"JUNÍN AERO"	"Temperatura (°C)"	"23.0"	"21.7"	"19.7"	"15.8"	"12.4"	"9.3"	"8.6"	"10.7"	"12.9"	"16.3"	"19.4"	"22.0"
"Buenos Aires"	"JUNÍN AERO"	"Temperatura máxima (°C)"	"29.8"	"28.4"	"26.6"	"22.6"	"19.0"	"15.5"	"15.0"	"17.7"	"19.7"	"22.7"	"26.0"	"28.8"
"Buenos Aires"	"JUNÍN AERO"	"Temperatura mínima (°C)"	"16.6"	"15.8"	"14.2"	"10.4"	"7.2"	"4.5"	"3.6"	"4.8"	"6.7"	"10.1"	"12.8"	"15.2"
"Buenos Aires"	"JUNÍN AERO"	"Humedad relativa (%)"	"69.6"	"74.4"	"77.2"	"77.8"	"78.5"	"79.3"	"77.1"	"72.3"	"70.1"	"71.1"	"67.8"	"65.9"
"Buenos Aires"	"JUNÍN AERO"	"Velocidad del Viento (km/h)"	"11.6"	"9.9"	"10.6"	"9.7"	"10.1"	"10.2"	"11.4"	"13.1"	"14.5"	"15.2"	"15.5"	"13.4"
"Buenos Aires"	"JUNÍN AERO"	"Nubosidad total (octavos)"	"3.4"	"3.3"	"3.3"	"3.5"	"3.9"	"4.3"	"4.0"	"3.7"	"3.7"	"3.8"	"3.6"	"3.5"
"Buenos Aires"	"JUNÍN AERO"	"Precipitación (mm)"	"132.3"	"118.8"	"133.2"	"109.1"	"61.2"	"26.8"	"31.5"	"32.4"	"55.3"	"122.8"	"110.7"	"110.0"
"Buenos Aires"	"JUNÍN AERO"	"Frecuencia de días con Precipitación superior a 0.1 mm"	"8.2"	"7.8"	"9.0"	"7.6"	"5.3"	"4.4"	"4.8"	"4.5"	"5.9"	"9.9"	"9.2"	"8.6"
"La Pampa"	"SANTA ROSA AERO"	"Temperatura (°C)"	"23.6"	"22.1"	"19.5"	"14.9"	"11.0"	"7.9"	"7.2"	"9.5"	"12.1"	"15.9"	"19.4"	"22.5"
"La Pampa"	"SANTA ROSA AERO"	"Temperatura máxima (°C)"	"31.0"	"29.8"	"26.9"	"22.4"	"18.0"	"14.7"	"14.2"	"17.2"	"19.7"	"23.1"	"26.7"	"29.8"
"La Pampa"	"SANTA ROSA AERO"	"Temperatura mínima (°C)"	"16.4"	"15.1"	"13.4"	"9.2"	"5.7"	"3.0"	"2.0"	"3.4"	"5.7"	"9.2"	"12.2"	"15.1"
"La Pampa"	"SANTA ROSA AERO"	"Humedad relativa (%)"	"58.6"	"62.6"	"69.6"	"72.1"	"75.4"	"75.9"	"72.7"	"64.8"	"63.0"	"62.1"	"57.6"	"55.4"
"La Pampa"	"SANTA ROSA AERO"	"Velocidad del Viento (km/h)"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"	"S/D"
"La Pampa"	"SANTA ROSA AERO"	"Nubosidad total (octavos)"	"3.4"	"3.1"	"3.4"	"3.6"	"4.2"	"4.6"	"4.3"	"4.0"	"4.0"	"3.9"	"3.6"	"3.4"
